Date,Source,Site ID,POC,Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Pollutant
01/01/2025,AQS,60070008,1,12.3,ppb,11,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/02/2025,AQS,60070008,1,15.9,ppb,14,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/03/2025,AQS,60070008,1,6.8,ppb,6,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/04/2025,AQS,60070008,1,17.4,ppb,16,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/05/2025,AQS,60070008,1,15.7,ppb,14,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/06/2025,AQS,60070008,1,10.1,ppb,9,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/07/2025,AQS,60070008,1,21.1,ppb,20,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/08/2025,AQS,60070008,1,19.6,ppb,18,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/09/2025,AQS,60070008,1,25.8,ppb,24,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/10/2025,AQS,60070008,1,23.1,ppb,22,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/11/2025,AQS,60070008,1,3.9,ppb,3,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/12/2025,AQS,60070008,1,23.3,ppb,22,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/13/2025,AQS,60070008,1,22.1,ppb,21,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/14/2025,AQS,60070008,1,22.8,ppb,21,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/15/2025,AQS,60070008,1,28.7,ppb,26,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/16/2025,AQS,60070008,1,23.5,ppb,22,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/17/2025,AQS,60070008,1,25.6,ppb,24,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
01/18/2025,AQS,60070008,1,23.4,ppb,22,Chico-East Avenue,23,96.0,42602,Nitrogen dioxide (NO2),74,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047,NO2
